row_id,entity_label,property_label,old_value,old_value_label,new_value,new_value_label,old_value_description,new_value_description,annotator,label,Skip,Notes
882231964_144_Q61987120$e82624db-4acd-6615-3e15-cccd6ec83bb5,Fahrenheit: Indigo Prophecy Remastered,based on,"""Q61987120""",Fahrenheit: Indigo Prophecy Remastered,"""Q1327449""",Fahrenheit,2015 remaster of the 2005 interactive video game Fahrenheit,2005 cinematic interactive drama action-adventure video game,lisa,unrefinement,,
1569689976_190_Q33292$B49AC5CD-148C-4429-89D8-0084C6EFD6ED,Berdiansk,twinned administrative body,"""Q33292""",Berdiansk,"""Q106583""",Bielsko-Biała,City and seaport in Ukraine,"city in Silesian Voivodeship, Poland",lisa,property_value_update,,
1080235005_1435_Q29148970$96D9B460-CA5B-45AE-8AB8-96A5767062B8,,heritage designation,"""Q10387575""",monument historique inscrit,"""Q61058419""",object listed as historical monument,national heritage site in France,French object listed as a Historical Monument by the French State,lisa,property_value_update,,
1019864927_101_Q315349$b07b780c-c7a0-4b30-8b18-f0eeaaf05e10,Terry Eagleton,field of work,"""Q5891""",philosophy,"""Q459381""",literary theory,"study of the truths and principles of being, schools of thought, knowledge, or conduct",systematic study of the nature of literature,lisa,property_value_update,,
629845297_106_Q22812885$ad43735a-4c28-e9a6-6505-5064110f480a,Alexander Zelkine,occupation,"""Q32075377""",Category:Model railroaders,"""Q22812942""",model railroader,Wikimedia category,person who practice model railroading,lisa,property_value_update,,
2251950126_735_Q72717$52A3E574-D2D7-470D-9FBB-710A7BBBD7D5,Elia Kazan,given name,"""Q16947019""",Elia,"""Q11878157""",Elias,unisex given name,male given name,lisa,property_value_update,,
5810535_31_q199471$8138A010-A588-4CAC-A310-200C3047D2A2,afghani,instance of,"""Q266516""",generic currency sign,"""Q8142""",currency,glyph (¤) used for unspecified currency,generally accepted medium of exchange for goods or services,lisa,property_value_update,,
1529621708_2444_Q87523445$60E02D4C-ED3C-49F6-AF10-E55653CF3331,⁏,homoglyph,"""Q87496143""",;,"""Q104394""",semicolon,Unicode character,punctuation mark that separates major sentence elements,lisa,refinement,,
1758845936_54_Q181403$B7E503E9-2CD4-4A2B-9273-0C3FBA0A515D,Martin Buchwieser,member of sports team,"""Q358191""",Adler Mannheim,"""Q457423""",SC Riessersee,German ice hockey team,ice hockey team,lisa,property_value_update,,"I checked, they are not located in Mannheim, so its a different team"
1701066578_495_Q330663$8ACA6B74-592C-4431-B6A3-BA23992042A1,My Name Is Khan,country of origin,"""Q30""",United States,"""Q668""",India,country located primarily in North America,country in South Asia,lisa,property_value_update,,
2048673331_27_Q390913$D05FF1D8-9DA6-49DC-9556-8AB095F8DC6B,Evgeni Nabokov,country of citizenship,"""Q232""",Kazakhstan,"""Q15180""",Soviet Union,sovereign state in Eastern Europe and Central Asia,former country in Eurasia (1922–1991),lisa,property_value_update,,
1505223647_19_q119710$D6907C6A-5325-444A-8080-935E4646F9C3,Peter Martin Lampel,place of birth,"""Q1803301""",Landkreis Liegnitz,"""Q6885227""",Miłogostowice,,"village in Lower Silesian, Poland",lisa,property_value_update,,
5807694_36_q57251$80FF2051-495C-433C-B558-2F94798B1E82,Taiwan,capital,"""Q699391""",history of Taipei,"""Q1867""",Taipei,aspect of history,special municipality and capital city of Taiwan,lisa,property_value_update,,
345559659_279_Q186685$cf048503-4cd2-05af-cce6-82bd53aed57d,marae,subclass of,"""Q2221906""",geographic location,"""Q618123""",geographical feature,"point, line or area on or near Earth",components of planets that can be geographically located,lisa,unrefinement,,
1164915498_1269_Q91465814$55fb8f49-4911-83ba-1094-98355c6c78ba,,facet of,"""Q3480931""",10^39,"""Q41027979""",10^120,ten to the 39th power,,lisa,property_value_update,,
663811805_551_Q62118$406ba4fa-4dcf-09a4-95df-96a1939f466b,Robert Hermann Schomburgk,residence,"""Q650667""",Guyanas,"""Q918126""",British Guiana,region in northeastern South America,British posession in the Guianas region between 1814–1966,lisa,property_value_update,,Debatable; could also be value update -> I guess I was very much on the semantic side
1299981861_669_Q88210482$50887681-4b50-72cd-d814-acbd663e5c54,,located on street,"""Q3452224""",rue du Commandant-René-Mouchotte,"""Q100436956""",Rue du Commandant-René-Mouchotte,"street in Paris, France","street in Saint-Mandé, France",lisa,property_value_update,,
1364397354_1427_Q105568185$9c3beb5a-4e48-1399-fb16-08c8bf04f38f,2021 Antwerp Port Epic,start point,"""Q2605823""",Antwerpen-Haven interchange,"""Q31467408""",Antwerp,interchange in Belgium,"town in Antwerp municipality, Belgium",lisa,refinement,,
584079417_136_Q130585$28674A3A-4B3E-4AC5-B8B5-D8C811D36196,Supernatural,genre,"""Q132311""",fantasy,"""Q40831""",comedy,"genre of speculative fiction set in a fictional universe, often inspired by real world myth and folklore",genre of works intended to be humorous,lisa,property_value_update,,
969436183_1419_Q124020$03dcee79-48f0-4731-2469-6eb4d35c17fc,flag of Switzerland,shape,"""Q3422559""",Rectangle,"""Q209""",rectangle,French independent record label,quadrilateral with four right angles,lisa,property_value_update,,Just thinking: is a repair / fix (like capitalization) also refinement (better) or an update?
244225077_279_Q460336$ee8247ee-4be7-7dcb-9de0-b581aba37a60,state police,subclass of,"""Q35535""",police force,"""Q14947556""",territorial police force,constituted body of persons empowered by the state to enforce the law,force whose area of responsibility is defined by sub-national boundaries,lisa,refinement,,
780808478_54_Q4961160$32497651-E96E-41E0-A228-31D8A7B7D700,Brendon Dawson,member of sports team,"""Q1544873""",Zimbabwe national rugby union team,"""Q338685""",Zimbabwe women's national rugby union team,rugby union team,sports team,lisa,refinement,,
1882936001_279_Q3630702$2801fa73-41cd-c7c5-bfe5-4afbff474ef7,air underwater breathing apparatus,subclass of,"""Q32859751""",breathing apparatus,"""Q30715263""",underwater breathing apparatus,,device used for breathing underwater,lisa,refinement,,
2318212586_39_Q283387$D8669844-386F-4E54-A6AE-65D0070F67F4,Alfanus I,position held,"""Q49476""",archbishop,"""Q105824708""",archbishop of Salerno,bishop of higher rank in many Christian denominations,,lisa,refinement,,
1203118832_1454_Q122549$E2F8EE8A-6795-4A74-9B59-482D5AA03772,Shochiku,legal form,"""Q891723""",public company,"""Q1480166""",kabushiki gaisha,company that offers its securities for sale to the general public,company incorporated with limited liability under Japanese law,lisa,property_value_update,,
1074065565_2094_Q3628840$37fb865e-4896-82a1-4c35-d54100d5d52e,"athletics at the 1972 Summer Olympics – men's 10,000 metres",competition class,"""Q163892""","10,000 metres","""Q55245399""","men's 10,000 metres",common long distance running event,gendered athletics discipline competition class,lisa,refinement,,
2028216030_2094_Q123736951$ADE46267-6E3C-491F-9C86-8600F49BFE16,"ACBB 3 - Garches-Vaucresson 2 (U15, 15-10-2023)",competition class,"""Q31930761""",men's association football,"""Q44418853""",men's U15 association football,association football when played by men,"age group ""under 15"" for male teams and national teams of association football",lisa,refinement,,
833234186_31_Q50235448$281e8998-413c-4e72-e36d-0f1612e7242b,federal intervention on Rio de Janeiro in 2018,instance of,"""Q60585247""",federal intervention,"""Q1977915""",federal intervention in Argentina,temporary suspension of the autonomy of federal entities within a country,attribution of the federal government of Argentina,lisa,refinement,,
549701417_31_Q26435041$182EE2EC-CD76-4D15-9971-F3643398FA0B,Wheal Prosper Engine House,instance of,"""Q3947""",house,"""Q26261765""",engine house,building usually intended for living in,building or other structure that holds one or more engines,lisa,refinement,,
703968548_2094_Q55189654$30415279-00F5-40E7-B63B-C96788D72881,2017 Ostrava Golden Spike – men's 100 metres,competition class,"""Q164761""",100 metres,"""Q55243390""",men's 100 metres,sprint race,athletics competition class,lisa,refinement,,
418227915_1552_Q5422106$6425e109-4578-21fc-fbf2-a54b29fa5dfd,extouch triangle,has characteristic,"""Q11500""",area,"""Q15921574""",area of plane shape,"quantity that expresses the extent of a two-dimensional surface or shape, or planar lamina, in the plane",,lisa,refinement,,
846101049_171_Q116554$29f034db-4f98-daa7-d9b9-aa75a25cacb9,Carnotena,parent taxon,"""Q3620570""",Apatelodidae,"""Q30576""",Bombycidae,family of insects,family of moths,lisa,refinement,,
917748887_31_Q19554547$40CB2EE1-A438-45B7-8B28-1AAC2E26BC2D,municipal anthem of Viadutos,instance of,"""Q484692""",hymn,"""Q63204594""",municipal anthem,combination of text and tune specifically written for the purpose of adoration or prayer,official hymn representing a municipality or similar administrative subdivision,lisa,refinement,,
1429812871_793_Q106820320$dc6c9bd6-4cd3-a17f-f748-df773fb5ff13,William J. Kiefer,significant event,"""Q24238946""",liberation,"""Q102073578""",liberation of Nazi camps,act of liberating or state of being liberated,,lisa,refinement,,
1325008754_31_Q11439963$b982761f-48e7-6467-c3c0-87be5792d22b,Osaka Station City,instance of,"""Q41176""",building,"""Q15942680""",station building,"structure, typically with a roof and walls, standing more or less permanently in one place",,lisa,refinement,,
639746780_423_Q1744062$F4B875C9-13C2-4FEC-8445-AEAA15227590,Miroslav Duben,shooting handedness,"""Q13196750""",left,"""Q10927615""",left-handed shot,relative direction,hockey player shooting with left hand: item for property:P423,lisa,refinement,,
1866821125_1303_Q87989$FF437874-D186-40AF-AEAF-571969673538,Christoph Nichelmann,instrument,"""Q5994""",piano,"""Q81982""",harpsichord,musical keyboard instrument,plucked-string keyboard instrument,lisa,refinement,,
745829938_452_Q372657$a61abc5d-4bd7-1a57-541c-2312d7054067,Credit Suisse,industry,"""Q837171""",financial services,"""Q1548025""",retail banking,economic service provided by the finance industry,provision of services by a bank to individual consumers,lisa,refinement,,
2033382938_31_q4216425$76360CBD-2CCA-49CD-8E33-C4476EFCFBD5,Klyuchevskoi Karyer,instance of,"""Q3215290""",artificial lake,"""Q7269229""",quarry lake,lake formed by people,lake that is formed after a quarry has been dug,lisa,refinement,,
740145725_20_Q466601$25733500-32E8-4F20-B5C0-E88EE688CD84,Charles Terront,place of death,"""Q23482""",Marseille,"""Q1726147""",canton of Marseille-Sainte-Marguerite,"French commune in Bouches-du-Rhône, Provence-Alpes-Côte d'Azur; the second largest city of France",canton of France,lisa,refinement,,
402402687_171_Q160189$A94255DC-870D-41BC-AB23-70A04501581B,Alchemilla vulgaris,parent taxon,"""Q157180""",Alchemilla,"""Q2640245""",Alchemilla sect. Alchemilla,genus of plants,section of plants,lisa,refinement,,
859238761_971_Q25338592$2FC8F9B1-A34A-4026-9C47-A2430E352A5F,Category:Igbo rap albums,category combines topics,"""Q482994""",album,"""Q29035150""",album by this artist,"grouping of album releases by an artist usually released at the same time with the same title and tracks but in different formats for consumption (digital, CD, LP)",Wikidata metaclass,lisa,refinement,,
734256798_971_Q30731486$944CAA25-0C57-4458-B58C-7B28B5A92521,Category:1963 in Yugoslav sport,category combines topics,"""Q2755""",1963,"""Q509359""",1963 in sports,year,sports-related events of 1963,lisa,refinement,,
339227924_31_q2900672$19E14285-7A98-4500-BA79-3C5080859FAE,Jolly Fisherman Seaplane Base,instance of,"""Q1248784""",airport,"""Q10295412""",seaplane base,"location where aircraft take off and land with extended support facilities, mostly for commercial air transport",airport with water runways and piers and/or ramps for seaplanes and amphibious aircraft,lisa,refinement,,
2284212117_4330_Q130810642$a26d6c58-4113-b946-ee0d-271f48a53d81,"Necropolis, Tomb 6, Loculus V",contains,"""Q184418""",coffin,"""Q11519176""",wooden coffin,"container for transport, laying out and the burial of a corpse",,lisa,refinement,,
2067234963_279_Q1078402$35AD49F8-02BC-4EF9-86BE-446E41CC3257,Christianity in East Germany,subclass of,"""Q5043""",Christianity,"""Q21655745""",Christianity in Germany,Abrahamic monotheistic religion,,lisa,refinement,,
1667108624_31_Q17016788$D1BFABB1-CE18-4031-AE45-1DBCBBF2955D,1982 United States Senate election in Rhode Island,instance of,"""Q24333627""",United States Senate election,"""Q112727421""",United States Senate election in Rhode Island,type of election,,lisa,refinement,,
639767037_423_Q389577$3C23CC93-85D0-4DE8-A43D-A3AFA586D5FB,Carl Klingberg,shooting handedness,"""Q14565199""",right,"""Q10927630""",right-handed shot,relative direction,hockey player shooting with right hand: item for property:P423,lisa,refinement,,
2152339523_137_Q34486$E1033785-98BF-4E61-80B2-1CF78FBF2781,helicopter,operator,"""Q61883""",air force,"""Q57770""",Argentine Air Force,military branch of service primarily concerned with aerial warfare,air warfare branch of Argentina's armed forces,lisa,refinement,,
650198161_361_Q205895$6c46a4b2-43c7-8f16-610d-ee669a9a59b1,landmass,part of,"""Q634""",planet,"""Q2""",Earth,celestial body directly orbiting a star or stellar remnant,third planet from the Sun in the Solar System,lisa,refinement,,
574087456_31_Q2129474$b538b699-4d48-d098-4982-c5649c80cbd3,,instance of,"""Q22811486""",high fermentation beer,"""Q44""",beer,,alcoholic drink,lisa,unrefinement,,
679551773_31_Q4161084$DEA0977E-BF97-429C-840B-FD09B91A5C16,Dias,instance of,"""Q53475615""",family name in Portugal,"""Q101352""",family name,family name originated from Portuguese language,"part of a naming scheme for individuals, used in many cultures worldwide",lisa,unrefinement,,
212575773_279_Q271855$128c9e2c-4b77-238b-c3fc-0294cc8676cf,government budget,subclass of,"""Q15629444""",government report,"""Q19828919""",government document,document written by a government to convey information,written work created by a government,lisa,unrefinement,,
1288920066_54_Q2643777$775308BF-C8EF-4454-A411-AB875C1176D3,James Ward-Prowse,member of sports team,"""Q1049176""",England national under-20 association football team,"""Q47762""",England men's national association football team,national under-20 association football team representing England,men's national association football team representing England,lisa,,x,This is hard; it is a refinement (men's) as well as an unrefinement (under 20) at the same time; skip it
802159675_31_q444451$32E1455B-A328-445C-96C9-A00314BC2AE4,City of Golden Shadow,instance of,"""Q571""",book,"""Q47461344""",written work,medium for recording information (words or images) typically on bound pages or more abstractly in electronic or audio form,"any work expressed in writing, such as inscriptions, manuscripts, documents or maps",lisa,unrefinement,,
588957655_166_q296771$8C4F9E97-5DFF-404E-8B59-7F702246A248,Saad Harirị,award received,"""Q10855212""",Commander of the Legion of Honour,"""Q10855271""",Knight of the Legion of Honour,third rank of the French Legion of Honour,first rank of the French Legion of Honour,lisa,property_value_update,,This is also hard; you could see these rankes as actually ranked or simply a semantically different concept? when do we say that a concept is rankable? :D 
2280415784_179_Q6911014$F27A6A4D-6255-4908-A05C-7CD680D76E2D,More Nature – A Selection of New Zealand’s Best 2000-2005,part of the series,"""Q6980847""",Nature's Best: New Zealand’s Top 30 Songs of All Time,"""Q131342519""",Nature's Best,2002 compilation album; various artists,compilation album series,lisa,unrefinement,,
1067337567_54_Q76765447$08bb9eb2-4582-fbb5-90ec-23654193b136,Richard Honeywill,member of sports team,"""Q76968803""",Great Britain national men's under-17 handball team,"""Q918298""",Great Britain national handball team,Great Britain men's national handball team for under 17's,Great Britain men's national handball team,lisa,unrefinement,,
569997425_171_Q5896$AE038147-46B1-4319-A67B-F934619C4D12,Austrochilidae,parent taxon,"""Q54482""",Austrochiloidea,"""Q1357""",Araneae,superfamily of spiders,order of arachnids,lisa,unrefinement,,
1866821125_1303_Q87989$FF437874-D186-40AF-AEAF-571969673538,Christoph Nichelmann,instrument,"""Q81982""",harpsichord,"""Q5994""",piano,plucked-string keyboard instrument,musical keyboard instrument,lisa,unrefinement,,
1481032312_106_Q16495192$dfcdbe34-4cbf-5e56-7c26-34784d402ce4,Augusto Cid,occupation,"""Q108103121""",illustrator,"""Q15296811""",draftsperson,profession,person who makes drawings (artist/cartoonist/drafter/illustrator),lisa,unrefinement,,
688707340_31_Q1752657$1925B12A-1F0E-4510-B968-8AFC98A8B739,Petersohn,instance of,"""Q17091404""",patronymic surname,"""Q101352""",family name,surname based on the father's given name,"part of a naming scheme for individuals, used in many cultures worldwide",lisa,unrefinement,,
174604025_106_q355425$2D10E1FE-1D04-4EBD-ABD1-DEEA70D9A710,Cesar Chavez,occupation,"""Q15627169""",trade unionist,"""Q178790""",labor union,person involved in trade unions; member or supporter of a trade union,organization of workers with common goals,lisa,property_value_update,,
1839113150_31_Q688452$2d9b55c7-489c-b03e-7dd9-6f5b9e69c62d,Triodos Bank,instance of,"""Q746515""",ethical banking,"""Q22687""",bank,bank concerned with the social and environmental impacts of its investments and loans,financial institution that accepts deposits,lisa,property_value_update,,"I selected change because I think ""banking"" (to run a bank) is different from ""bank"" (the institution) - but unsure"
740145725_20_Q466601$25733500-32E8-4F20-B5C0-E88EE688CD84,Charles Terront,place of death,"""Q1726147""",canton of Marseille-Sainte-Marguerite,"""Q23482""",Marseille,canton of France,"French commune in Bouches-du-Rhône, Provence-Alpes-Côte d'Azur; the second largest city of France",lisa,unrefinement,,
1989223666_1344_Q65993195$183fa0a7-49ea-aace-70de-33ab0ac4a040,KC Lightfoot,participant in,"""Q111292736""",2022 World Athletics Indoor Championships – men's pole vault,"""Q85865946""",2022 World Athletics Indoor Championships,,international athletics championship event,lisa,unrefinement,,
943875051_2061_Q467101$8902C6CD-F04A-434D-83D6-667E0008DE11,Twenty Bucks,aspect ratio (W:H),"""Q21037379""",1.85:1,"""Q752245""",widescreen,aspect ratio with a width of 1.85 units and height of 1 unit,aspect ratio of a displayed image,lisa,unrefinement,,This is hard hard and pretty semantic to detect; just saying
1646039220_16_Q11654498$55F77B24-35DF-480E-AB0A-FBA73CC833D9,Nagano Prefectural Road Route 232,transport network,"""Q98599286""",Nagano prefectural roads,"""Q1537326""",prefectural road,,prefectural road in Japan,lisa,unrefinement,,
308859499_279_q5518$69f9e9e5-4dfb-bf2e-5036-a1542d0eebc3,liceo classico,subclass of,"""Q15938054""",secondary education in Italy,"""Q159334""",secondary school,overview of secondary education in Italy,organization where secondary education is provided,lisa,unrefinement,,
734256693_971_Q30731487$14A2C42C-0CF8-4A6B-AEE9-4323A34C6E58,Category:1962 in Yugoslav sport,category combines topics,"""Q744872""",1962 in sports,"""Q2764""",1962,sports-related events of 1962,year,lisa,unrefinement,,
1669986827_16_Q11672392$02a7efc0-4def-a0d8-098c-7569565186c7,Kochi Keihin Road,transport network,"""Q111705413""",Kochi prefectural roads,"""Q1537326""",prefectural road,,prefectural road in Japan,lisa,unrefinement,,
1749572451_2650_Q114630222$672f7413-42e8-ae85-67f4-92db18b3b751,Youth for Christ End-time Ministries,interested in,"""Q106584300""",Youth Empowerment,"""Q868575""",empowerment,A process where children and young people are encouraged to take charge of their lives,providing increased autonomy,lisa,unrefinement,,
1659596700_31_Q186005$4b95eb4a-4372-ce58-c132-0e4edfb752fb,physiotherapy,instance of,"""Q954946""",Physical medicine,"""Q44597158""",health specialty,"Use of physical methods of treatment, such as electric current, pressure and others","services that promote health, prevent diseases and deliver health care services to individuals, families and communities based on the primary health care approach",,,,
777030921_2354_Q22666734$f41a6455-48bf-dbcf-63e7-9dab1a3bfbfd,ambassador of Germany to Japan,has list,"""Q320468""","list of German ministers, envoys and ambassadors to Japan","""Q1619440""",list of ambassadors of Germany to Japan,Wikimedia list article,Wikimedia list article,lisa,unrefinement,,
632130836_31_Q48956416$c710838e-4d3f-a23f-eca8-883d571a3233,Hobsbawm Macaulay,instance of,"""Q23700958""",public relations agency,"""Q4830453""",business,business offering public relations services to others,"organization undertaking commercial, industrial, or professional activity",lisa,unrefinement,,
149962283_31_Q3554406$8C099772-F86C-42A8-944C-5BF44489ADC2,Van Hanh Pagoda,instance of,"""Q10748583""",Buddhist temple in Vietnam,"""Q5393308""",Buddhist temple,,place of worship for Buddhists,lisa,unrefinement,,
1722973258_1454_Q107003420$5635b0b7-4e35-be2d-f25e-9285cc53e268,Federal Foundation for Gender Equality,legal form,"""Q20050667""",foundation under public law,"""Q56597644""",federal foundation,type of legal form in Germany for government foundations,type of legal form in Germany,lisa,unrefinement,,
1036572143_159_Q285246$CCB12246-A825-4524-97E1-C69EF5EF0664,De Havilland Canada,headquarters location,"""Q118696""",Downsview Airport,"""Q172""",Toronto,airport,"capital and largest city of the province of Ontario, Canada",lisa,property_value_update,,
1660214696_106_Q112502248$C2D19EA5-63FA-45DB-8390-1CAA2F3CBEEA,Ann George,occupation,"""Q1622272""",university teacher,"""Q1231865""",pedagogue,person teaching at a university,person working in the academic field of pedagogy,lisa,unrefinement,,
276824126_171_Q142545$700699E2-83FF-4C38-8419-0E80E60A282D,Tonkinomys daovantieni,parent taxon,"""Q25916""",Muridae,"""Q21447850""",Tonkinomys,family of mammals,genus of mammals,lisa,unrefinement,,
