revision_id,property_id,value_id,property_label,entity_label,old_value,old_value_label,new_value,new_value_label,label,old_value_description,new_value_description,llm_label
11994972,150,q159$5C85A62B-2DF6-4344-9B8E-D0E637969CC9,contains the administrative territorial entity,Russia,"""Q2469395""",Historical Bashkortostan,"""Q5710""",Bashkortostan,property_value_update,Historical area,federal subject of Russia,unrefinement
9337152,190,q15674$A27C92C0-1EDD-4904-83CE-C5E8F9565191,twinned administrative body,Kagoshima,"""Q1249407""",USS Miami,"""Q8652""",Miami,property_value_update,1988 Los Angeles-class submarine,"city in Miami-Dade County, Florida, United States",property_value_update
673365847,800,Q5673$82c29d50-482a-d69e-e41c-57846362cb69,notable work,Hans Christian Andersen,"""Q11859""",The Little Mermaid,"""Q11870""",Thumbelina,property_value_update,fairy tale by H. C. Andersen,fairy tale by H. C. Andersen,property_value_update
345312191,54,q146907$BC15EE13-8B60-4575-ABAA-D7912E6224E5,member of sports team,Miralem Pjanić,"""Q2739""",A.S. Roma,"""Q1422""",Juventus FC,property_value_update,"association football club in Rome, Italy","association football club in Turin, Italy",property_value_update
1753518281,1346,Q166177$a387b433-477a-37e1-732f-ea351a6489f7,winner,Ballon d'Or,"""Q615""",Lionel Messi,"""Q1912""",Karim Benzema,property_value_update,Argentine association football player (born 1987),French footballer (born 1987),property_value_update
1629725330,735,Q463521$493BF235-AB41-4B21-A03D-9868A8C23885,given name,Dora d'Istria,"""Q987115""",Dora,"""Q1209486""",Elena,property_value_update,female given name,female given name,property_value_update
137910684,21,Q55275$FB2349D3-C1E5-4CF4-B21A-6BF4CD43BD6A,sex or gender,Urania Mella Serrano,"""Q6581072""",female,"""Q6581097""",male,property_value_update,to be used in sex or gender (P21) to indicate that the human subject is a female or semantic gender (P10339) to indicate that a word refers to a female person,to be used in sex or gender (P21) to indicate that the human subject is a male or semantic gender (P10339) to indicate that a word refers to a male person,property_value_update
166023571,31,Q209034$f1991581-4303-7f7d-06d0-685c10c2449b,instance of,Toluca,"""Q515""",city,"""Q15284""",municipality,property_value_update,large human settlement,administrative division having corporate status and usually powers of self-government or jurisdiction,property_value_update
7265183,19,q22575$B609D3C3-01CF-4418-957C-9CECD6E11D31,place of birth,Nicolas König,"""Q768246""",German frigate Hamburg,"""Q1055""",Hamburg,property_value_update,2002 Sachsen-class frigate,city and state in the North of Germany,property_value_update
1486384523,735,Q250382$518B2CDB-2876-4315-BD22-79B7819422F3,given name,Candela Peña,"""Q43400193""",Candela,"""Q29906090""",María del Pilar,property_value_update,female given name,female given name,property_value_update
1203118832,1454,Q122549$E2F8EE8A-6795-4A74-9B59-482D5AA03772,legal form,Shochiku,"""Q891723""",public company,"""Q1480166""",kabushiki gaisha,property_value_update,company that offers its securities for sale to the general public,company incorporated with limited liability under Japanese law,property_value_update
1664160136,1889,Q284066$96a62a0b-4393-76ef-4bcf-998d97d975ea,different from,Aiko,"""Q743509""","Aiko, Princess Toshi","""Q1399682""",Aiko,property_value_update,only child of Emperor Naruhito and Empress Masako of Japan,Wikimedia disambiguation page,property_value_update
547166860,206,Q389239$6A330B8F-1026-4C4F-8285-742722CF742F,located in or next to body of water,Cape Sōya,"""Q98""",Pacific Ocean,"""Q208054""",La Pérouse Strait,property_value_update,"ocean between Asia, Australia and the Americas","strait between Sakhalin Island and Hokkaidō, Japan",property_value_update
1313547295,509,Q44272$35CC9EB5-3FE1-400B-BB55-B68FE34FA09B,cause of death,Michel Foucault,"""Q28608836""",AIDS related disease,"""Q15787""",HIV,property_value_update,non-neoplastic or neoplastic disorder arising as a result of the immunologic defects caused by Autoimmune Deficiency Syndrome,"human retrovirus, cause of AIDS",property_value_update
2219797336,141,Q309661$7AA68E26-219C-4862-B686-5B41D7CCC8C3,IUCN conservation status,Echinopsis hertrichiana,"""Q11394""",endangered species,"""Q96377276""",Endangered status,property_value_update,species of organisms facing a very high risk of extinction,IUCN status for species which are categorized as very likely to become extinct in the near future,property_value_update
1898525988,27,q97654$B0AFD246-2283-48B9-BA1A-EC2DBFE5ACC5,country of citizenship,Rudolf Joachim Seck,"""Q183""",Germany,"""Q43287""",German Empire,property_value_update,country in Central Europe,German nation-state in Central Europe from 1871 to 1918,property_value_update
1359340391,31,Q181074$73017CA3-B3E4-45F1-80CE-E4DE7FE34AFE,instance of,Classical Armenian,"""Q34770""",language,"""Q14860523""",målform,property_value_update,"particular system of communication, often named for the region or peoples that use it","term used in Norway to indicate which variant of a Norwegian public administration prefers, Bokmål or Nynorsk.",property_value_update
1110828432,106,Q133705$7C71AFB5-016C-4522-BCEC-4787093C74DF,occupation,Gideon Levy,"""Q1182783""",defeatism,"""Q1930187""",journalist,property_value_update,acceptance of defeat without a struggle; belief in the inevitability of defeat,"person who collects, writes, and distributes news and other information",property_value_update
6106183,31,q144$79BD0B10-8A55-4CC2-ABC5-0C1C0ACC9C06,instance of,dog,"""Q3367089""",Pet Airways,"""Q39201""",pet,property_value_update,American company specializing in the transportation of pets,animal kept for companionship and a person's enjoyment,property_value_update
1527147856,527,Q209719$9B437344-CC42-4D33-92DD-DF643D4019D6,has part(s),Second Book of Samuel,"""Q12470298""",2 Samuel 18,"""Q16158742""",2 Samuel 2,property_value_update,second Book of Samuel chapter,second Book of Samuel chapter,property_value_update
2173718800,31,Q62470$A76133DC-AE81-4510-86E2-0E31D6D45ACB,instance of,Auma-Weidatal Administrative Community,"""Q1500932""",administrative community of Saxony-Anhalt,"""Q1317260""",administrative community of Thuringia,property_value_update,,,property_value_update
648794730,39,Q264918$A8D44ED3-3A89-495E-B1F7-BA28DC3A38E9,position held,Arthur de Gobineau,"""Q121998""",ambassador,"""Q1133920""",minister plenipotentiary,property_value_update,highest diplomatic rank,minister plenipotentiary,property_value_update
2346632777,800,Q154332$7527b837-4e42-7e7a-8f5c-2c9f363f4de4,notable work,Alcuin,"""Q133804741""",Disputatio de rhetorica,"""Q134414602""",Disputatio de vera philosophia,property_value_update,work by Alcuin,work by Alcuin,property_value_update
1331644269,141,q168748$E0766A06-36CC-425F-AC04-9EF23C1F5942,IUCN conservation status,Secretarybird,"""Q278113""",Vulnerable,"""Q11394""",endangered species,property_value_update,IUCN conservation category,species of organisms facing a very high risk of extinction,property_value_update
1795323285,27,Q67488$5e78b330-4417-f86e-69a4-a481d6d440ff,country of citizenship,Christina Schwanitz,"""Q183""",Germany,"""Q16957""",German Democratic Republic,property_value_update,country in Central Europe,"1949–1990 country in central Europe, unified into modern Germany",property_value_update
415954938,108,Q172767$BA3B9D7C-DAA3-44C3-ACC5-56EBFF914DC4,employer,Éric Boullier,"""Q173018""",Lotus F1,"""Q172030""",McLaren,property_value_update,former Formula 1 team,British Formula One team,property_value_update
6213912,54,q10490$2C1F2122-83ED-45DC-B72C-EC7819E6CBD6,member of sports team,Ayrton Senna,"""Q849607""",McLaren F1,"""Q172030""",McLaren,property_value_update,Sports car designed and manufactured by McLaren Automotive,British Formula One team,property_value_update
308754210,40,q309909$A351C1E5-DD7F-468B-9CB0-8CBEA0BD535F,child,Childeric II,"""Q109240""",Chilperic II,"""Q22979283""",Dagobert,property_value_update,King of Neustria,frankish prince,property_value_update
867133271,31,q167953$4F85D6EF-2C6C-4820-A7B0-A7BE1096B222,instance of,Rakovski,"""Q3957""",town,"""Q515""",city,property_value_update,settlement that is smaller than a city but bigger than a large village (or a large borough in some areas),large human settlement,property_value_update
6137073,30,q8378$50419CCA-6D98-4C7B-B175-EA19CEA9BBB6,continent,Palencia,"""Q594831""","Eurasia, Rivista di Studi Geopolitici","""Q5401""",Eurasia,property_value_update,Italian quarterly magazine on geopolitics,continental landmass comprising Europe and Asia,property_value_update
65372545,21,q57373$150DD96E-BE9A-4569-BFF9-3C8B3FD3CD77,sex or gender,Asif Ali Zardari,"""Q6581097""",male,"""Q6581072""",female,property_value_update,to be used in sex or gender (P21) to indicate that the human subject is a male or semantic gender (P10339) to indicate that a word refers to a male person,to be used in sex or gender (P21) to indicate that the human subject is a female or semantic gender (P10339) to indicate that a word refers to a female person,property_value_update
140026578,166,Q71031$ec2d04d4-4e22-76c6-2a16-2d7470b08f5c,award received,Robert Bunsen,"""Q2117655""",Albert Medal for Lifesaving,"""Q4710826""",Albert Medal,property_value_update,British medal awarded to recognise the saving of life,award of the Royal Society of Arts,property_value_update
1638542122,735,Q184500$8D492B7D-A47A-433D-A335-59AB06A4E088,given name,Johannes Scotus Eriugena,"""Q1158906""",Giovanni,"""Q4925477""",John,property_value_update,male given name,male given name,property_value_update
821352481,27,Q465292$02C0C48B-CF68-431B-B373-1BE8A2EDFE62,country of citizenship,Wendy Beckett,"""Q842438""",British,"""Q145""",United Kingdom,property_value_update,"citizens or residents of the United Kingdom of Great Britain and Northern Ireland, British Overseas Territories, Crown Dependencies, and their descendants",country in north-west Europe,property_value_update
782081001,19,q119679$691952C6-1A1B-4CB2-8B77-C11AA4914A9D,place of birth,Ibn Qayyim al-Jawziyya,"""Q3766""",Damascus,"""Q532572""",Mariquita,property_value_update,capital and largest city of Syria,colombian municipality of the department of Tolima,property_value_update
1934584860,40,Q67987$DC91D72F-E5F0-48E4-A0AC-A8F2D6497E3B,child,Albrecht von Graefe,"""Q92386""",Albrecht von Graefe,"""Q1158323""",Albrecht,property_value_update,German politician (1868-1933),family name,property_value_update
5820721,47,q224$52EDC9F0-9A47-4E9E-914F-7B2D09AC6019,shares border with,Croatia,"""Q506214""",Slovenia in the Eurovision Song Contest,"""Q215""",Slovenia,property_value_update,,country in Central Europe,property_value_update
6283556,19,q331$0ADAF7E1-2B61-4878-B078-D28B3B2954EA,place of birth,Ricardo Lagos,"""Q408217""",Santiago Island,"""Q2887""",Santiago,property_value_update,"Island in the Galápagos Archipelago, Ecuador",capital city of Chile,property_value_update
13385147,263,q218295$05A1046F-2F44-4F88-AFF9-8A2FBC359780,official residence,President of Russia,"""Q2309202""",Moscow Kremlin,"""Q133274""",Kremlin,property_value_update,1906 Imperial Fabergé egg,"fortified complex in Moscow, Russia",property_value_update
1187617335,421,q205460$FBD6B074-4273-4DCF-9941-4DC8AAA90D6D,located in time zone,Cojedes,"""Q5394""",UTC−04:30,"""Q5762""",UTC−04:00,property_value_update,Identifier for a time offset from UTC of −4.30,identifier for a time offset from UTC of −4,property_value_update
771919627,1376,Q1761$fce6ee1f-42e1-74e4-138a-11393da80cbf,capital of,Dublin,"""Q1516442""",history of Ireland from 1801 to 1923,"""Q57695350""",Ireland,property_value_update,aspect of history,part of the United Kingdom (1801–1922),property_value_update
8400691,27,q200678$93F78E92-3D5E-4865-B45C-3B46F69B2AF2,country of citizenship,Queen Rania of Jordan,"""Q40059""",Jordan River,"""Q810""",Jordan,property_value_update,river in West Asia which flows to the Dead Sea,country in the Middle East,property_value_update
2158048966,1889,Q131354$9f881812-4bb7-bc6f-f062-4d7cb60a6007,different from,Alcatraz Island,"""Q1142661""",Alcatraz Federal Penitentiary,"""Q293678""",Alcatraz,property_value_update,prison in the San Francisco Bay,Wikimedia disambiguation page,property_value_update
67217209,19,q313211$04FF5B91-D744-47EA-80BF-C28F3E427325,place of birth,Alberto Santos-Dumont,"""Q39109""",Minas Gerais,"""Q5747""",Palmyra,property_value_update,state in the Southeast Region of Brazil,"ancient city in Homs Governorate, Syria",property_value_update
1196226295,509,Q209077$42b1b879-e6c1-4ea0-b32b-0b51c547bee3,cause of death,José de Espronceda,"""Q134649""",diphtheria,"""Q84263196""",COVID-19,property_value_update,infectious disease,contagious disease caused by SARS-CoV-2,property_value_update
2099179108,1344,Q17493$ffa86c98-4eaa-4496-1b36-1773a9b42a43,participant in,Thiago Alcântara,"""Q373501""",UEFA Euro 2020,"""Q9448""",Premier League,property_value_update,16th edition of the quadrennial football championship,English men's association football top league,property_value_update
9336603,190,q15674$F69F8BFB-C3AB-46B4-A733-5B7494ABB95C,twinned administrative body,Kagoshima,"""Q681339""",HMAS Perth,"""Q3183""",Perth,property_value_update,1963 Perth-class destroyer,"capital city of Western Australia, Australia",property_value_update
1364396094,135,Q368977$af3a01a4-4b25-baa1-270f-3728b47d3f6a,movement,Frederic Storck,"""Q12742313""",Tinerimea artistică,"""Q189458""",academic art,property_value_update,artistic organization,style of painting and sculpture produced under the influence of European academies of art,property_value_update
647640644,27,q257872$FD59B944-6978-4ED1-8901-34CA291B08F3,country of citizenship,Aspazija,"""Q211""",Latvia,"""Q34266""",Russian Empire,property_value_update,sovereign state in northeastern Europe,former empire in Eurasia and North America (1721–1917),property_value_update
5833182,47,q28$6F431E48-839D-4F54-A9EB-095E1610FF2B,shares border with,Hungary,"""Q2157985""",Slovenia at the 2000 Summer Olympics,"""Q215""",Slovenia,property_value_update,Olympic team from Slovenia at the summer olympic games 2000,country in Central Europe,property_value_update
1393328914,451,q442928$53e092fb-4552-e03c-0646-b10fb8bc2a11,unmarried partner,Louise Colet,"""Q88219184""",Alfred de Musset (1810-1857),"""Q179680""",Alfred de Musset,property_value_update,painting by Stanislas Darondeau,French writer (1810–1857),property_value_update
142436650,19,q1912$545D6D37-F5C6-463E-82BE-05E657E9DE34,place of birth,Karim Benzema,"""Q456""",Lyon,"""Q406""",Istanbul,property_value_update,city of France,city in Turkey located at the Bosporus Strait,property_value_update
151546018,47,Q246272$016DCC94-D3AC-4686-935D-3C448A613856,shares border with,Radonín,"""Q2482909""",Kněžice,"""Q128752""",Číchov,property_value_update,village in Jihlava District of Vysočina region,village in Třebíč District of Vysočina region,property_value_update
7146452,37,q1095$7726119D-4976-4DD8-920E-B0DDAE61D8D8,official language,Limburg,"""Q488963""",names for the Dutch language,"""Q7411""",Dutch,property_value_update,aspect of history,West Germanic language,property_value_update
75070414,17,q173532$9980B954-CA1D-416D-8B42-954D1FF42AD2,country,Byblos,"""Q38""",Italy,"""Q822""",Lebanon,property_value_update,country in Southern Europe,sovereign state in Near East,property_value_update
710808327,527,Q6914$525AC112-FE13-4BDA-A748-E4B4F038D677,has part(s),1808,"""Q16630413""",December 1808,"""Q16637819""",February 1808,property_value_update,month of 1808,month of 1808,property_value_update
737002741,27,q82925$F6114CF5-45EF-498E-95E4-E3F62CF814F0,country of citizenship,Joseph Conrad,"""Q36""",Poland,"""Q34266""",Russian Empire,property_value_update,country in Central Europe,former empire in Eurasia and North America (1721–1917),property_value_update
1887463172,527,Q457834$6F883F71-70B7-4081-9FF5-4E744CF7718A,has part(s),Bayerisch Eisenstein / Železná Ruda-Alžbětín,"""Q98700403""",residential building at Bayerisch Eisenstein station,"""Q98700404""",railway roundhouse at Bayerisch Eisenstein station,property_value_update,"cultural heritage monument D-2-76-115-2 (3) in Bayerisch Eisenstein, Bavaria","cultural heritage monument D-2-76-115-2 (4) in Bayerisch Eisenstein, Bavaria",property_value_update
1128250896,735,Q189081$BE366080-1837-4884-82C9-2693D94FEA93,given name,Howard Hughes,"""Q3595959""",Howard,"""Q2293""",Chuck,property_value_update,male given name,American television series,property_value_update
2332882574,734,Q163457$C7427BDB-4249-4213-8D00-8BB03B382B3D,family name,Rita Fan,"""Q9757446""",Xu,"""Q37302542""",Hsu,property_value_update,Chinese family name,family name,property_value_update
68337782,107,q23716$60baa3c9-4b3a-d4a5-0baf-cca1ad0c8cd4,Main type of item (entity) / Art des Objekts / Type principal,Opinel knife,"""Q151885""",concept,"""Q1969448""",term,property_value_update,"semantic unit understood in different ways, e.g. as mental representation, ability or abstract object (philosophy)",word or phrase from a specialized area of knowledge,property_value_update
1259855900,54,Q161069$f061226d-40b0-6fab-aa76-4325717602af,member of sports team,David Silva,"""Q2609""",SS Lazio,"""Q50602""",Manchester City F.C.,property_value_update,"football section of the sports club based in Rome, Lazio, Italy","association football club in Manchester, England",property_value_update
1444137934,1441,Q52374$2a8993bd-47e1-f5ac-81f8-ae6a1d2b7f7c,present in work,Cad Bane,"""Q3551295""",Star Wars Legends,"""Q632672""",Star Wars: The Clone Wars,property_value_update,fictional background of the Star Wars universe outside of the feature films,2008 American television series,property_value_update
889927985,69,Q218747$74fc7175-a39d-413a-a1c5-562db470df71,educated at,"Honoré Gabriel Riqueti, comte de Mirabeau","""Q2302586""",Aix-Marseille University,"""Q26857409""",Aix University,property_value_update,"French public university located in Provence, founded in 2012 from the merger of Université Aix Marseille I, Aix Marseille II and Aix Marseille III","former university in Aix-en-Provence, France",property_value_update
10676760,27,q25998$61F854E7-09EF-4F07-BD86-05675B08E7DE,country of citizenship,Roxana Scarlat,"""Q581325""",Greater Romania,"""Q218""",Romania,property_value_update,irredentism,country in Southeast Europe,property_value_update
1321033585,272,Q5930$5a9548ab-43f8-f100-37e8-6caca50df6de,production company,Family Guy,"""Q2717612""",20th Century Fox Television,"""Q2814799""",20th Television,property_value_update,former American TV production company,American television production company,property_value_update
6790967,106,q206112$31643B98-6902-4A69-9F68-529F92EC3A4B,occupation,Willie Nelson,"""Q3559516""",writer invariant,"""Q36180""",writer,property_value_update,"property of a text which is similar in all texts of a given author, and different in texts of different authors",person who uses written words to communicate ideas and to produce literary works,property_value_update
627422575,131,q243392$168CD98D-BA75-4EF2-9F21-C169032F3AAE,located in the administrative territorial entity,Le Pin,"""Q122885""",canton of Claye-Souilly,"""Q17623423""",canton of Villeparisis,property_value_update,canton of France,canton of France,property_value_update
1099124333,413,Q151329$B2497F18-05A4-44DA-AE36-FA4E077913B6,position played on team / speciality,Jean-Paul Boëtius,"""Q11681748""",winger,"""Q8025128""",wing half,property_value_update,association football position,association football position,property_value_update
1285467981,20,q250763$76BEE515-B262-400F-A14D-A51C3640653A,place of death,Álvar Núñez Cabeza de Vaca,"""Q8356""",Valladolid,"""Q8717""",Seville,property_value_update,municipality of the Province of Valladolid in Spain,"municipality of Andalusia, Spain",property_value_update
1846744138,509,Q174762$D84CFF11-D3E7-47D5-BA9E-59912222B6DD,cause of death,Murad IV,"""Q6081223""",gout attack,"""Q12569389""",cirrosis,property_value_update,inflammation in foot caused by gout,disease that can occur in various organs,property_value_update
1042391086,910,Q217472$4A43C1DD-11E8-4F64-80FC-23EEC93A8F56,topic's main category,Pittidae,"""Q6672907""",Category:Pittas,"""Q17319606""",Category:Pittidae,property_value_update,Wikimedia category,Wikimedia category,refinement
655954929,31,Q184871$b943f2b6-4add-bc67-ce5b-ffed5b791ac4,instance of,Euler's formula,"""Q11345""",equation,"""Q609647""",identity,property_value_update,mathematical statement that asserts the equality of two expressions,equation that is satisfied for all values of the variables,refinement
1758845936,54,Q181403$B7E503E9-2CD4-4A2B-9273-0C3FBA0A515D,member of sports team,Martin Buchwieser,"""Q358191""",Adler Mannheim,"""Q457423""",SC Riessersee,property_value_update,German ice hockey team,ice hockey team,property_value_update
30713972,31,q392728$9ba79467-4e8a-db7a-801c-23d517fb75b7,instance of,King Shaka International Airport,"""Q4698881""",IGI Airport metro station,"""Q1248784""",airport,property_value_update,"metro station in Delhi, India","location where aircraft take off and land with extended support facilities, mostly for commercial air transport",property_value_update
1843879418,734,Q316327$E56E2F1A-86A3-45B0-B384-1647CAF844AA,family name,José Maria de Eça de Queirós,"""Q99981076""",de Albuquerque (family name),"""Q16146839""",Albuquerque,property_value_update,family name,family name,property_value_update
2205856582,20,Q295768$90a52cd6-46a6-8613-2d14-2b4b60ab1771,place of death,Bengt I. Samuelsson,"""Q1754""",Stockholm,"""Q1599139""",Mölle,property_value_update,capital and largest city of Sweden,"urban area in Höganäs Municipality, Sweden",property_value_update
2283024038,140,Q47780$bce65896-2502-4372-965a-7116b8f0d853,religion or worldview,Zaha Hadid,"""Q432""",Islam,"""Q3333484""",Eastern Orthodoxy,property_value_update,Abrahamic religion founded by Muhammad,Christian denominational family,property_value_update
554791999,1809,Q389910$9B16B6F4-6DBD-4FF2-9D55-C22F4745044E,choreographer,Le baiser de la fée,"""Q310184""",George Balanchine,"""Q235209""",Bronislava Nijinska,property_value_update,"American choreographer, dancer and ballet master (1904–1983)","Russian ballet dancer, teacher and choreographer",property_value_update
1354825290,734,Q200131$11cbe8b2-4390-02ad-d1ce-0e54c243b655,family name,Antônio Carlos Jobim,"""Q28800708""",Jobim,"""Q105307146""",Brasileiro,property_value_update,family name,family name,property_value_update
1569857242,118,q19587$8A6F8544-E20A-4ABE-9947-D5D5BB721A99,league or competition,Crewe Alexandra F.C.,"""Q48837""",EFL League Two,"""Q19565""",EFL League One,property_value_update,football league which is the fourth tier in the English football pyramid,division in English football league system,property_value_update
2295628355,106,Q129747$2A9E1A6E-F26B-4FAC-BD2C-BF27C27A0A4C,occupation,Memphis Bleek,"""Q183945""",record producer,"""Q3089940""",music executive,property_value_update,individual who oversees and manages the recording of an artist's music,person making executive decisions over artists of a record label,property_value_update
902541507,140,Q58978$1F135544-35FD-4FF5-8E31-C01081A3D958,religion or worldview,Max Born,"""Q9268""",Judaism,"""Q75809""",Lutheranism,property_value_update,Abrahamic monotheistic ethnic religion of the Jews,form of Protestantism commonly associated with the teachings of Martin Luther,property_value_update
1035395644,140,Q334871$D87AECBF-DCCB-4F02-9C1A-739E072CBBC1,religion or worldview,Reza Pahlavi,"""Q288928""",Agnosticism,"""Q432""",Islam,property_value_update,view that the existence of God or the supernatural are unknown or unknowable,Abrahamic religion founded by Muhammad,property_value_update
1295452400,31,q419167$0C92D69E-7008-4AC9-B84A-27FD5F181CDF,instance of,basic fuchsine,"""Q11173""",chemical compound,"""Q169336""",mixture,property_value_update,pure chemical substance consisting of two or more different chemical elements,substance formed when two or more constituents are physically combined together,property_value_update
749523528,123,q82888$AC6A644B-7BA6-4E5B-AE24-5F3FB779ED18,publisher,The Road to Middle-earth,"""Q95145""",George Allen & Unwin Limited,"""Q56677707""",Allen & Unwin,property_value_update,former British publishing company,Australian independent publishing company,property_value_update
206596093,21,q209518$527B2B5B-9313-4CB0-A70D-0A3DBF476331,sex or gender,Wayne Gretzky,"""Q6581097""",male,"""Q639354""",Female,property_value_update,to be used in sex or gender (P21) to indicate that the human subject is a male or semantic gender (P10339) to indicate that a word refers to a male person,1933 Warner Bros. pre-code film,property_value_update
2338225950,20,Q212338$98F6BAB5-35B7-4938-904F-934001989D47,place of death,Philolaus,"""Q5760""",Thiva,"""Q11225429""",Thebes,property_value_update,"modern city in Boeotia, Greece",ancient Greek city-state,property_value_update
11232903,118,q102720$4C5CC779-EEE5-4C39-AD7C-A0E5955B310A,league or competition,Hertha BSC,"""Q113159""",2. Frauen-Bundesliga,"""Q152665""",2. Bundesliga,property_value_update,women's association football league,German association football league,property_value_update
1510869216,1412,Q368127$965e036e-4692-8650-c8e4-53e058cc7508,"languages spoken, written or signed",Elena Ferrante,"""Q16867966""",Napolitan,"""Q33845""",Neapolitan,property_value_update,Wikimedia disambiguation page,Italo-Dalmatian language spoken in southern Italy,property_value_update
538037936,19,q463534$E8B66C5F-3E1D-4E2A-96F7-39AB00CDF62F,place of birth,Beatrice of Silva,"""Q5823""",Ceuta,"""Q995297""",Campo Maior,property_value_update,autonomous city of Spain in North Africa,municipality of Portugal,property_value_update
5951390,36,q786$CBC2425A-1DDC-490E-ABFB-E832566E244D,capital,Dominican Republic,"""Q985416""",Santo Domingo de Guzmán,"""Q188011""",Santo Domingo,property_value_update,"district in Central Sonsonate, El Salvador",city and commune in Chile,property_value_update
943613631,880,Q56942$d5d23eea-4dac-7ff7-59fc-bc7a80189e44,CPU,Wii U,"""Q719867""",Espresso,"""Q726""",horse,property_value_update,IBM microprocessor,domesticated four-footed mammal from the equine family,property_value_update
474243100,27,Q441885$8F93CCFB-5789-4B04-BE4E-A23C6885935C,country of citizenship,Nicaea of Macedon,"""Q221""",North Macedonia,"""Q83958""",Macedonia,property_value_update,country in southeastern Europe,ancient Hellenic kingdom,property_value_update
